iter	F1	Logloss
0	0.6557678029	0.6482720632
1	0.6662865797	0.6183226637
2	0.6961041697	0.6079227861
3	0.6874396128	0.595784907
4	0.688978556	0.5867275275
5	0.6963847474	0.5801043289
6	0.702804345	0.5757514852
7	0.7019273714	0.5694954845
8	0.7025897068	0.5673086085
9	0.6985758938	0.5667468799
10	0.6985967531	0.5657892984
11	0.7011055993	0.5638237387
12	0.6993079869	0.5598853986
13	0.7037314973	0.5584012614
14	0.7004934295	0.557335458
15	0.7019739441	0.5562505408
16	0.7003287983	0.5548111832
17	0.7017387166	0.5528711329
18	0.7024533919	0.5523938599
19	0.7059472793	0.5513243935
20	0.7058562281	0.5503222687
21	0.7078064362	0.5496944091
22	0.7077248244	0.5492475315
23	0.705937888	0.5482941655
24	0.7085629799	0.5467110367
25	0.7086204341	0.5460787273
26	0.7105900111	0.5454339853
