Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Purpose,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
3,-1.2923179448196354,6,0,-0.0219761491125673,1.133644851182116,0.17248301727254398,1,1,0,2.76051988315993,-0.762772031096034,-0.9128859834532558,-0.21893240800840794,0
3,-0.4335842249063092,6,0,0.8041948701568745,-0.42852756229605427,1.2287498665449934,0,0,0,-0.36362020569431924,0.33078087736190526,0.0221628318862601,-0.22727593933944762,1
1,-0.8667042916807753,7,0,-0.0219761491125673,2.369181214569396,1.2302497795326446,0,0,0,2.76051988315993,0.0583789639562625,-0.3999903860153743,-0.22379946795151442,0
3,-0.78191184325297,6,0,-0.6416044135646487,0.5939852901623843,-0.9749504182805762,1,1,0,-0.36811751257174913,-0.6102819540502155,-0.606775729727039,-0.2571735932756732,0
2,-0.8274307355392847,7,0,0.3911093605221536,-0.669954208015408,-0.46694863827548155,1,0,0,-0.36797830693441524,-0.618292016897781,-0.9785065810686306,-0.23979123633600716,0
2,-0.20776127709273837,7,0,0.18456660570479316,-0.5279385340628471,-0.5075400335037905,0,0,0,-0.3613543238351422,-0.39060299162631,0.05068186545479491,-0.23144770500496747,1
1,0.3338414795435056,6,0,-0.4350616587472882,0.2815508074667503,-0.46207392106561535,0,0,2,2.76051988315993,-0.7494418518795629,-1.4132653906102757,-0.2217135851187545,0
2,-0.41055454787227,6,0,0.3911093605221536,-0.8971792863395054,-0.5851136583338727,0,0,0,-0.3640612532581493,-0.631801525879496,0.1462519183850887,-0.24952535622222013,1
1,-0.20776127709273837,4,0,1.2172803797915954,-0.3717212927150301,-1.288994700070033,1,1,2,-0.3678563297175435,-0.9117950660138017,-1.6188885166530032,-0.23144770500496747,0
1,-0.20776127709273837,0,0,-0.22851890392992774,0.8922182054627624,-0.1996360205075304,0,0,0,-0.3539750467828101,-0.2658492516048976,-0.04578220106698898,-0.23144770500496747,1
1,-0.20776127709273837,0,0,-0.8481471683820091,-0.9681871233157859,-0.7428857557224268,0,0,0,-0.3650019250153807,-0.321979468126271,-0.3158637070561541,-0.23144770500496747,0
1,0.8355101156383257,4,0,0.18456660570479316,-0.10189151220516404,0.4987140920866664,0,0,0,-0.3581029763255323,0.3557674913192366,-0.2321840348926789,-0.22727593933944762,0
1,-0.5790585211643535,6,0,-0.6416044135646487,-0.6131479384343835,-0.34386202872636007,0,0,0,-0.361339851961954,0.0801376421392017,0.11809049025314992,-0.24883006194463347,0
